pos,ID,group,age,preg,flies
1,A102,Nov09,A,P,1
1,A106,Nov09,A,P,1
1,A108,Nov09,A,N,0
1,A109,Nov09,A,P,0
1,A111,Nov09,A,P,0
1,A120,Jan10,A,P,1
1,A099,Jan10,SI,N,0
1,A132,Jan10,A,P,0
1,A141,Jan10,A,P,0
1,A142,Jan10,A,N,0
0,A143,Jan10,A,N,0
1,A144,Jan10,A,P,0
1,A146,Jan10,A,P,1
1,A147,Jan10,A,P,1
1,A148,Jan10,A,N,0
1,A149,Jan10,A,N,0
1,A150,Jan10,A,P,0
1,A151,Jan10,A,N,1
1,A152,Jan10,SI,N,1
1,A153,Jan10,A,P,0
1,A188,Jan10,A,P,0
1,A155,Jan10,A,P,0
1,A156,Jan10,A,P,1
1,A157,Jan10,A,P,0
0,A158,Jan10,A,N,0
1,A160,Jan10,A,P,0
1,A001,Jan10,SI,N,0
1,A162,Jan10,A,P,1
0,A163,Jan10,A,P,1
1,A164,Jan10,A,N,1
1,A166,Jan10,SI,N,1
1,A167,Jan10,A,N,1
1,A168,Jan10,A,P,1
