Duration,Species
281,Ew
37,Ew
113,Eh7
114,Ew
114,Ew
184,E4
281,Ew
100,E3
244,Ew
37,E3
168,Eh6
14,E2
121,Ew
167,Ew
246,Ew
610,E3
76,Ew
84,E3
84,Ew
43,Eh6
37,Ew
114,E4
168,Ew
71,Ew
167,Ew
76,E4
130,Ew
54,E3
54,Ew
43,Ew
281,Ew
167,Ew
167,Ew
37,Ew
14,E5
113,Ew
287,Ew
113,Ew
610,Ew
37,Ew
114,E5
14,E5
43,Ew
37,E2
37,E3
125,E3
113,Ew
76,Ew
14,E2
167,Ew
114,Ew
54,Ew
76,Eh6
14,E2
54,Eh6
238,Ew
281,Ew
30,E5
113,Ew
14,E2
244,Ew
54,Ew
114,E5
37,Ew
119,Eh6
30,E5
14,E1
14,E5
14,E1
44,Ew
