"","method","x","n","mean","lower","upper"
"1","wilson",9,12,0.75,0.467694665066434,0.911058331605945
"2","wilson",13,22,0.590909090909091,0.387348184763151,0.767441838035281
"3","wilson",62,73,0.849315068493151,0.749980980255918,0.913723233364051
"4","wilson",57,61,0.934426229508197,0.843171983201042,0.974206295510433
"5","wilson",37,72,0.513888888888889,0.400697546051928,0.625673254709281
"6","wilson",44,63,0.698412698412698,0.576396276864404,0.797623088378115
"7","wilson",44,69,0.63768115942029,0.519797708738036,0.741042756398312
"8","wilson",40,67,0.597014925373134,0.477413288811145,0.706095072202483
"9","wilson",10,58,0.172413793103448,0.096442926629388,0.289082565093262
"10","wilson",18,81,0.222222222222222,0.145446074046719,0.324152862304623
"11","wilson",27,87,0.310344827586207,0.222891551433765,0.413838192579522
"12","wilson",33,80,0.4125,0.311058576127619,0.521959596541098
"13","wilson",35,85,0.411764705882353,0.313170055053242,0.51798985385512
"14","wilson",39,81,0.481481481481481,0.375996416128847,0.588643512961243
"15","wilson",6,12,0.5,0.253781597633706,0.746218402366294
"16","wilson",11,22,0.5,0.30722106273725,0.69277893726275
"17","wilson",55,73,0.753424657534247,0.64355554655775,0.837955353519482
"18","wilson",46,61,0.754098360655738,0.633155758900107,0.844933422987737
"19","wilson",27,72,0.375,0.272191783418384,0.49047100973073
"20","wilson",37,63,0.587301587301587,0.464153176974226,0.700415343732483
"21","wilson",36,69,0.521739130434783,0.405872548736112,0.635312787864364
"22","wilson",27,67,0.402985074626866,0.293904927797517,0.522586711188855
"23","wilson",3,58,0.0517241379310345,0.0177461346594105,0.141394011908427
"24","wilson",12,81,0.148148148148148,0.0868270820995976,0.241331570612102
"25","wilson",14,87,0.160919540229885,0.0983464439862585,0.2521703710678
"26","wilson",24,80,0.3,0.210645712600813,0.407681539213397
"27","wilson",22,85,0.258823529411765,0.177580998724722,0.360922752291467
"28","wilson",36,81,0.444444444444444,0.341195525034579,0.55272426223569
"29","wilson",4,12,0.333333333333333,0.138120091091213,0.6093779111272
"30","wilson",8,22,0.363636363636364,0.197332046703661,0.57048291909869
"31","wilson",45,73,0.616438356164384,0.501740834746836,0.719493903126487
"32","wilson",38,61,0.622950819672131,0.497478578418192,0.73385489668883
"33","wilson",23,72,0.319444444444444,0.22325610278262,0.433923487321657
"34","wilson",27,63,0.428571428571429,0.313969179943643,0.55138384856905
"35","wilson",27,69,0.391304347826087,0.284813235427348,0.509260081570272
"36","wilson",23,67,0.343283582089552,0.240890062727629,0.46267335409651
"37","wilson",2,58,0.0344827586206897,0.00950792833116542,0.117291454643127
"38","wilson",5,81,0.0617283950617284,0.0266525120970292,0.136492476368421
"39","wilson",9,87,0.103448275862069,0.0553851103378846,0.185049808962625
"40","wilson",17,80,0.2125,0.137123867176961,0.314221557305967
"41","wilson",15,85,0.176470588235294,0.109963635614956,0.270956030382372
"42","wilson",30,81,0.37037037037037,0.273316842539549,0.479162661091077
"43","wilson",3,12,0.25,0.0889416683940547,0.532305334933566
"44","wilson",6,22,0.272727272727273,0.131507602879895,0.481517340124024
"45","wilson",18,73,0.246575342465753,0.162044646480518,0.35644445344225
"46","wilson",27,61,0.442622950819672,0.325078055214829,0.566966323068561
"47","wilson",17,72,0.236111111111111,0.152967095808483,0.345987689728536
"48","wilson",10,63,0.158730158730159,0.0885709239651416,0.268115767817725
"49","wilson",12,69,0.173913043478261,0.102383689679968,0.279836261312892
"50","wilson",7,67,0.104477611940299,0.0515376976878286,0.20031283048738
"51","wilson",0,58,0,0,0.0621178557872029
"52","wilson",0,81,0,0,0.0452780854324152
"53","wilson",2,87,0.0229885057471264,0.00632708510592601,0.0799931801396141
"54","wilson",8,80,0.1,0.0515476155673808,0.185106888061041
"55","wilson",9,85,0.105882352941176,0.0567124071198065,0.189135186004211
"56","wilson",21,81,0.259259259259259,0.176275589345885,0.364043488825277
